TMJ_1990_163_193/27.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/11.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/12.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/1.png:  PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/8.png:  PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/15.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/3.png:  PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/6.png:  PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/7.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/10.png:  PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/5.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/2.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/9.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/14.png:  PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/4.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/13.png:  PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/11.png:  PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/12.png:  PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/1.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/8.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/3.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_181_194/6.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_1/2.png:    PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_1/1.png:    PNG image data, 3609 x 5700, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_1/3.png:    PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/27.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/26.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/16.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/23.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/7.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/10.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/5.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/2.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/25.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/17.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/22.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/18.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/21.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/24.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/9.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/14.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/28.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/20.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/4.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/13.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/19.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/11.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/12.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/1.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/8.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/15.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/3.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1970_165_192/6.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Erbe94/5.png:              PNG image data, 4001 x 6067, 8-bit/color RGB, non-interlaced
Erbe94/2.png:              PNG image data, 4001 x 6067, 8-bit/color RGB, non-interlaced
Erbe94/4.png:              PNG image data, 4001 x 6067, 8-bit/color RGB, non-interlaced
Erbe94/1.png:              PNG image data, 4001 x 6067, 8-bit/color RGB, non-interlaced
Erbe94/3.png:              PNG image data, 4001 x 6067, 8-bit/color RGB, non-interlaced
Erbe94/6.png:              PNG image data, 4001 x 6067, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/7.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/10.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/5.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/2.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/9.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/4.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/11.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/12.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/1.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/8.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/3.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1970_273_284/6.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/16.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/23.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/7.png:  PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/10.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/5.png:  PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/2.png:  PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/17.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/22.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/18.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/21.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/9.png:  PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/14.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/20.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/4.png:  PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/13.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/19.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/11.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/12.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/1.png:  PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/8.png:  PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/15.png: PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/3.png:  PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1998_283_305/6.png:  PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
JMKU_1971_377_379/2.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_377_379/1.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_377_379/3.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/16.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/7.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/10.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/5.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/2.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/17.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/18.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/9.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/14.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/4.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/13.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/11.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/12.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/1.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/8.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/15.png: PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/3.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
ASENS_1997_367_384/6.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/27.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/26.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/16.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/23.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/29.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/7.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/10.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/5.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/2.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/25.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/17.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/22.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/18.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/21.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/24.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/9.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/14.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/28.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/20.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/4.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/13.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/19.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/11.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/12.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/1.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/30.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/8.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/15.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/3.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1999_375_404/6.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/27.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/31.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/26.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/34.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/16.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/23.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/29.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/7.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/10.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/5.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/2.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/25.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/17.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/22.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/18.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/21.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/37.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/24.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/9.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/14.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/28.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/32.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/35.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/33.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/20.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/36.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/4.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/13.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/19.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/11.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/12.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/1.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/30.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/8.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/15.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/3.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Bergweiler83/6.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/16.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/23.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/7.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/10.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/5.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/2.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/25.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/17.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/22.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/18.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/21.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/24.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/9.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/14.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/20.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/4.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/13.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/19.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/11.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/12.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/1.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/8.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/15.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/3.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
jones83/6.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Emden76/7.png:             PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Emden76/10.png:            PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Emden76/5.png:             PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Emden76/2.png:             PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Emden76/9.png:             PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Emden76/4.png:             PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Emden76/1.png:             PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Emden76/8.png:             PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Emden76/3.png:             PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Emden76/6.png:             PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
